50
0 2 49
1 4 5 6 32 37 38 39 41 46 47 48 49
2 0 3 39 40 46 47 48
3 2 4 5 8 31 37 38
4 1 3
5 1 3
6 1 29 30
7 9 25 26 27 28 29 30
8 3 9 11 12 28
9 7 8
10 11 12 14 15 16 23 24
11 8 10
12 8 10
13 14 15 20 21 22 23 24 25 26 27
14 10 13
15 10 13
16 10 18 19
17 18 19 20 21 22
18 16 17
19 16 17
20 13 17
21 13 17
22 13 17
23 10 13
24 10 13
25 7 13
26 7 13
27 7 13
28 7 8
29 6 7
30 6 7
31 3 35
32 1 36
33 34 36
34 33 35
35 31 34
36 32 33
37 1 3
38 1 3
39 1 2
40 2 42 44 45
41 1 42 43
42 40 41
43 41 44 45
44 40 43
45 40 43
46 1 2
47 1 2
48 1 2
49 0 1
